Country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,RANK,Happiness score,Dystopia (1.83) + residual
Albania,2021,5.25548172,9.562287331,0.70188278,69.15000153,0.827452719,0.044741828,0.896126628,0.553830087,0.25365448,0.472924024,90,5.199,1.718
Argentina,2021,5.908278942,9.955421448,0.882304549,67.19999695,0.819479346,-0.008816142,0.816256702,0.684860051,0.345131576,0.326574117,57,5.967,1.891
Armenia,2021,5.300568581,9.50048542,0.762044132,67.65000153,0.795169771,-0.150131598,0.705333829,0.565781593,0.477539957,0.297145844,82,5.399,1.654
Australia,2021,7.111598969,10.81834221,0.91975528,71.05000305,0.912402213,0.237517536,0.453676045,0.739800155,0.235314175,0.519226372,12,7.162,2.011
Austria,2021,7.079640865,10.89209175,0.862975955,71.15000153,0.794845939,0.161673456,0.500808597,0.721865237,0.259080172,0.61045897,11,7.163,2.148
Benin,2021,4.493431091,8.140853882,0.435524195,56.09999847,0.724061847,-0.013507844,0.6125471,0.596800864,0.434594899,0.762415886,115,4.623,2.458
Bolivia,2021,5.56862402,9.007940292,0.797810495,63.59999847,0.861731231,-0.054499056,0.812174439,0.721001804,0.403487325,0.385875583,71,5.6,2.107
Bosnia and Herzegovina,2021,5.748823166,9.627624512,0.859953582,67.30000305,0.758979201,0.281281054,0.920913935,0.604092598,0.305352151,0.225852832,67,5.768,1.869
Brazil,2021,6.009953499,9.593187332,0.814328671,65.75,0.791507721,0.090771444,0.738571405,0.661550403,0.407182962,0.327099293,38,6.293,2.361
Bulgaria,2021,5.421693325,10.05412579,0.883621037,66.5,0.841188073,-0.010516754,0.891248465,0.646759868,0.252776712,0.224526197,85,5.371,1.235
Burkina Faso,2021,4.635508537,7.713550568,0.6575436,55.65000153,0.64410162,0.067472264,0.736158907,0.619715929,0.363105804,0.620851576,113,4.67,2.313
Cameroon,2021,4.962747574,8.215063095,0.694936395,55.84999847,0.715301752,-0.023982672,0.848717153,0.612028599,0.346513718,0.563208461,102,5.048,2.469
Canada,2021,6.939435482,10.77074814,0.926076412,71.40000153,0.898229182,0.193240881,0.383990496,0.762826681,0.276232809,0.610411167,15,7.025,1.924
Chile,2021,6.435630798,10.16244316,0.891460538,70.30000305,0.80341506,-0.049180858,0.858552754,0.735079885,0.220878571,0.232144803,44,6.172,2.04
Colombia,2021,5.289958477,9.587848663,0.792830646,69.34999847,0.774668455,-0.06074876,0.831330955,0.75165838,0.348332316,0.289148897,66,5.781,1.971
Costa Rica,2021,6.408448219,9.938294411,0.87605232,70,0.886652231,-0.023066543,0.781826913,0.774057925,0.317840338,0.315308332,23,6.582,2.346
Croatia,2021,6.286790371,10.30044937,0.917741537,68.94999695,0.841837883,0.009498014,0.933650374,0.640148699,0.274197161,0.251287937,47,6.125,1.884
Czechia,2021,6.942496777,10.58128357,0.950226784,69.05000305,0.890521467,0.163303927,0.8625741,0.716166556,0.239848629,0.284475416,18,6.92,2.263
Denmark,2021,7.698747158,10.97297955,0.944926739,71.25,0.933439255,0.132816002,0.172680944,0.7918908,0.20642221,0.651709735,2,7.636,2.226
Dominican Republic,2021,6.030537128,9.834504128,0.857106984,64.40000153,0.859358311,-0.084483601,0.677408218,0.73365891,0.275468111,0.574958026,69,5.737,1.751
Ecuador,2021,5.43487215,9.26595211,0.785531878,69,0.821025372,-0.080462657,0.774508297,0.741730273,0.40317139,0.412493259,76,5.533,1.866
Egypt,2021,4.025747776,9.40212822,0.717022359,63.5,0.704442561,-0.227792621,0.580454171,0.387354374,0.324949861,0.764044523,129,4.288,0.856
El Salvador,2021,6.431447029,9.05728817,0.796106219,65.59999847,0.914903879,-0.075257853,0.663288593,0.825840414,0.289976716,0.702381134,49,6.12,2.514
Estonia,2021,6.553915501,10.55838966,0.945865035,69.65000153,0.925818324,0.049557805,0.441425771,0.760608435,0.176258042,0.519263983,36,6.341,1.442
Finland,2021,7.794377804,10.7945528,0.97028929,71.15000153,0.96318984,-0.035728443,0.191753656,0.75161171,0.175448626,0.713731229,1,7.821,2.518
France,2021,6.656206608,10.71656609,0.914597511,72.30000305,0.836917698,-0.100719824,0.56081295,0.684601307,0.268417448,0.433520496,20,6.687,1.895
Gabon,2021,5.075422287,9.559962273,0.75387162,58.25,0.699056685,-0.204959437,0.765906811,0.620008111,0.36192885,0.448331118,106,4.958,1.892
Georgia,2021,4.911273479,9.648091316,0.670689464,64.94999695,0.777061343,-0.285530955,0.723406911,0.509632826,0.240043506,0.443020523,105,4.973,1.583
Germany,2021,6.754523754,10.87341213,0.86758256,71.30000305,0.778439999,0.07768628,0.417581916,0.70333302,0.251194686,0.604759932,14,7.034,2.142
Ghana,2021,4.377950668,8.621863365,0.63272965,58.75,0.730264723,0.108457863,0.887770474,0.58759433,0.295109749,0.521073401,111,4.872,1.972
Greece,2021,6.104214191,10.26983833,0.85032618,71.15000153,0.574029803,-0.155177593,0.751816869,0.623556495,0.310851872,0.401736408,58,5.948,2.119
Honduras,2021,6.113636017,8.57476902,0.805980861,63.84999847,0.835045755,0.119133651,0.847225428,0.807722807,0.269214004,0.226496547,55,6.022,2.611
Hungary,2021,6.226647854,10.413867,0.947892129,67.5,0.727489948,-0.041736327,0.831555367,0.668148637,0.191949174,0.416566133,51,6.086,1.812
Iceland,2021,7.564624786,10.89974785,0.97985822,72.05000305,0.923243344,0.258854508,0.664465606,0.805808485,0.1591032,0.633886755,3,7.557,2.32
India,2021,3.558253765,8.807804108,0.569732904,60.90000153,0.866110921,0.056761485,0.756820023,0.547308445,0.429137886,0.785475373,136,3.777,0.795
Indonesia,2021,5.43317318,9.367486954,0.816924691,63.04999924,0.884855866,0.545828223,0.845080256,0.798546731,0.27275306,0.840339124,87,5.24,1.3
Iran,2021,4.78781414,9.462799072,0.771469533,66.59999847,0.609310269,0.187419236,0.761170328,0.517929852,0.42716375,0.617649436,110,4.888,1.427
Iraq,2021,5.093667984,9.109132767,0.730212867,63.65000153,0.594466746,0.008787568,0.900640011,0.577400565,0.474228501,0.42379427,107,4.941,1.894
Ireland,2021,6.827651978,11.54503345,0.849838138,71.30000305,0.846344113,0.133829191,0.360423386,0.732733727,0.245210573,0.623389423,13,7.041,1.743
Israel,2021,7.577528,10.61664009,0.91658324,72.69999695,0.819777012,-0.001983023,0.726003766,0.558294713,0.21654281,0.439594686,9,7.364,2.634
Italy,2021,6.4667449,10.63541317,0.885533631,72.05000305,0.702845216,-0.091751009,0.862317502,0.634286821,0.318436861,0.354293913,31,6.467,2.222
Ivory Coast,2021,5.055806637,8.588439941,0.554224849,55.95000076,0.717105269,-0.000176828,0.715896964,0.625795424,0.344690382,0.668288469,88,5.235,2.652
Jamaica,2021,5.813733578,9.115969658,0.857367575,66.59999847,0.730657279,-0.075910032,0.88274461,0.688595951,0.307878584,0.325800419,63,5.85,2.164
Japan,2021,6.091324806,10.6239481,0.895737708,74.34999847,0.801350355,-0.209871203,0.669546723,0.674374282,0.189246044,0.29078567,54,6.039,1.487
Jordan,2021,3.90914917,9.203712463,0.702918172,67.59999847,0.77311343,-0.149055541,0.655549169,0.479504108,0.429252565,0.791178405,134,4.152,0.695
Kazakhstan,2021,6.259634018,10.16281033,0.906053364,65.80000305,0.807489097,0.038746249,0.782494009,0.662836969,0.122301146,0.535169721,40,6.234,1.86
Kenya,2021,4.464540958,8.402458191,0.702200711,58.5,0.678108215,0.322458744,0.841331422,0.74483794,0.252963096,0.51475817,119,4.543,1.661
Kyrgyzstan,2021,5.563699722,8.458740234,0.904273272,66.84999847,0.91787082,0.206922323,0.90251559,0.659907758,0.226462573,0.582115293,64,5.828,2.087
Latvia,2021,6.353090763,10.35994816,0.954086423,66.40000153,0.815278113,-0.099032037,0.839525342,0.716414034,0.18593426,0.294602394,42,6.18,1.923
Lebanon,2021,2.178809404,9.243083954,0.50677526,66.15000153,0.42269668,-0.142942175,0.9052791,0.263486832,0.569100618,0.106694363,145,2.955,0.216
Lithuania,2021,6.864572525,10.57164574,0.928175211,67.40000153,0.707402527,-0.117042378,0.877800763,0.66699332,0.191300765,0.303830445,34,6.446,2.153
Malawi,2021,3.635283232,7.316189289,0.557914317,58.20000076,0.757269025,-0.008707583,0.740276992,0.550894737,0.325555235,0.514003277,138,3.75,1.661
Mali,2021,4.11309576,7.717709541,0.573393524,55.40000153,0.672789276,-0.002413505,0.90156728,0.639572978,0.438466877,0.499018282,123,4.479,2.373
Mauritius,2021,5.949120045,9.925987244,0.886509895,63.84999847,0.802364588,-0.007317984,0.783532083,0.665566385,0.135523796,0.527145624,52,6.071,1.969
Mexico,2021,5.99075079,9.837133408,0.778605103,65.80000305,0.837159336,-0.03136697,0.745186806,0.750247896,0.30510965,0.483326107,46,6.128,2.239
Moldova,2021,5.959048748,9.500629425,0.879554033,65.30000305,0.832602262,-0.090259023,0.875060678,0.630283237,0.270110786,0.363787621,62,5.857,2.142
Mongolia,2021,5.72103405,9.387740135,0.92711699,60.5,0.666846633,0.217352957,0.850720286,0.560003579,0.202482358,0.257001966,68,5.761,1.999
Mozambique,2021,5.178486824,7.108412266,0.664022684,51.29999924,0.838100493,0.048486661,0.62746644,0.575794935,0.383462697,0.731971681,101,5.048,2.641
Myanmar,2021,4.314039707,8.281549454,0.779576421,61.54999924,0.631394386,0.514833272,0.671063483,0.636049151,0.267805815,0.305712879,126,4.394,0.877
Namibia,2021,4.491207123,9.077544212,0.80780077,56.84999847,0.658505261,-0.144600421,0.828966737,0.643536866,0.230259106,0.529419482,124,4.459,1.414
Nepal,2021,4.622300148,8.242314339,0.698646426,61.84999847,0.817544639,0.149796292,0.769947886,0.414381087,0.35387665,0.617541671,84,5.377,2.224
Netherlands,2021,7.314151287,10.93984699,0.918759406,71.55000305,0.85629344,0.269323587,0.396572888,0.714353323,0.201159164,0.584738791,5,7.415,2.137
New Zealand,2021,7.13670063,10.68897343,0.949832201,70.34999847,0.910249829,0.219341666,0.252423555,0.747143626,0.206175357,0.634897828,10,7.2,1.954
Nicaragua,2021,6.095348835,8.61372757,0.848263025,65.65000153,0.904980481,0.026981786,0.674668729,0.798928738,0.292643428,0.589501441,45,6.165,2.418
Nigeria,2021,4.47926569,8.49864006,0.741560102,55.04999924,0.725732863,0.052173574,0.911945105,0.666297317,0.188105255,0.252334535,118,4.552,1.784
North Macedonia,2021,5.534749985,9.71719265,0.808856964,66.5,0.79296577,0.192517072,0.884325325,0.563352823,0.303365707,0.359121591,89,5.199,1.461
Norway,2021,7.361573696,11.09462643,0.947877407,71.5,0.936379194,0.169224352,0.263276964,0.769433558,0.20719704,0.773523211,8,7.365,1.925
Panama,2021,6.552778721,10.22175407,0.898621261,68.90000153,0.810681999,-0.140521035,0.861062586,0.834382474,0.217544228,0.334807962,37,6.309,2.086
Paraguay,2021,5.575535297,9.454678535,0.907541871,65.90000153,0.887960792,0.02379535,0.856721044,0.806078374,0.248322532,0.290166408,73,5.578,1.555
Peru,2021,5.694317818,9.44045639,0.818539441,69.84999847,0.811777532,-0.085864142,0.879913747,0.783769429,0.368650228,0.30032289,74,5.559,1.89
Philippines,2021,5.96505785,9.020073891,0.778192103,62.04999924,0.905275464,-0.00859355,0.72116226,0.789731145,0.322941482,0.763208687,60,5.904,2.283
Poland,2021,5.978068829,10.43639851,0.935534835,69.05000305,0.731805563,0.127401829,0.743913174,0.699575484,0.277231276,0.259251654,48,6.123,1.693
Portugal,2021,6.183014393,10.41631794,0.894941688,71.25,0.892121136,-0.20704861,0.872229338,0.628748119,0.284006834,0.576186419,56,6.016,1.691
Romania,2021,6.548725605,10.33434677,0.834509134,67.05000305,0.870957971,-0.182472154,0.928280115,0.673982322,0.264397413,0.192293614,28,6.477,2.446
Russia,2021,5.448261261,10.22768974,0.861716568,64.94999695,0.670810163,0.058407594,0.807839274,0.590086401,0.1900727,0.45699209,80,5.459,1.494
Senegal,2021,4.902830601,8.127270699,0.645179272,60,0.758525133,0.034219597,0.82134825,0.812411606,0.264975786,0.454221755,103,5.046,2.419
Serbia,2021,6.245267391,9.874162674,0.890106082,67.15000153,0.850367904,0.26693216,0.806221604,0.567632556,0.311130971,0.605454803,43,6.178,2.031
Sierra Leone,2021,3.714294434,7.421621799,0.609334111,54.5,0.659139514,0.108862124,0.851488411,0.537982225,0.448415697,0.753032207,140,3.574,1.556
