Country,milk_liter,bread_loaf,dozen_eggs,cheese_kg,1.5l_water_bottle,chicken_fillet_kg,oranges_kg,potato_kg,head_of_lettuce,white_rice_kg,tomato_kg,banana_kg,onion_kg,beef_kg,single_person_monthly_total,family_of_four_monthly_total
Kazakhstan,0.8,0.3,1.16,6.33,0.45,3.42,1.53,0.47,0.81,0.83,1.45,1.4,0.35,6.01,46.64499999999999,116.08000000000001
Portugal,0.67,1.12,1.91,7.25,0.53,5.37,1.26,0.96,0.99,1.01,1.59,1.12,1.09,9.16,60.59,145.23000000000002
Greece,1.29,0.99,3.23,9.08,0.78,7.28,1.19,0.9,0.8,1.83,1.67,1.64,0.83,9.63,83.55,205.01
Latvia,1.16,1.05,2.2,8.44,0.69,6.39,1.76,0.75,1.24,2.05,2.63,1.46,0.6,9.54,76,187.32999999999996
Iran,0.96,0.62,1.47,4.98,0.39,3.81,1.12,0.64,0.65,3.64,0.77,1.56,0.58,10.13,55.755,134.555
Morocco,0.66,0.46,1.14,7.3,0.53,4.47,0.5,0.42,0.3,1.15,0.52,0.98,0.43,7.23,51.3,126.215
Panama,1.57,2.05,2.08,8.81,1.48,6.48,2.41,1.89,1.63,1.85,2.76,1.26,1.92,7.66,102.81499999999998,269.26499999999993
Guatemala,1.63,1.74,1.9,5.42,1,6,2.48,1.43,0.76,1.51,1.33,1.15,1.41,9.28,84.78500000000001,217.03999999999996
Iraq,1.09,0.78,1.69,4.56,0.48,3.73,0.99,0.63,0.63,1.34,0.69,1.02,0.59,9.99,55.205000000000005,134.21
Chile,0.96,1.03,2.4,8.48,1.04,4.91,1.41,1,0.93,1.23,1.53,1.19,1.08,9.28,77.85500000000002,196.545
Nepal,0.71,0.48,1.51,6.92,0.26,3.15,1.1,0.42,0.28,0.71,0.6,0.88,0.58,4.7,37.855000000000004,90.96000000000001
Argentina,0.79,1.07,1.41,6.31,0.85,3.84,0.9,0.66,0.96,0.9,1.37,1.23,0.74,6.49,60.88,156.71499999999997
Ukraine,0.82,0.56,1.09,6.21,0.44,3.44,1.06,0.38,0.8,1.18,1.55,0.93,0.47,5.27,45.735,114.56500000000001
Ghana,1.39,0.76,1.36,7.58,0.45,3.25,1.08,1.58,0.71,1.3,1.47,0.99,1.29,3.44,51.330000000000005,130.17000000000002
Bahrain,1.5,1.34,2.38,5.93,0.61,7.28,1.76,0.96,1.87,2.06,1.22,1.81,0.9,7.96,77.61500000000001,193.45000000000005
India,0.68,0.48,0.93,5.22,0.36,3.31,1.09,0.37,0.54,0.7,0.54,0.66,0.42,5.89,39.934999999999995,98.10000000000002
Canada,1.95,2.3,2.93,10.77,1.66,10.65,3.3,2.26,2.14,2.98,3.48,1.35,2.19,13.08,135.36,345.46000000000004
Turkey,0.78,0.4,1.33,4.77,0.26,3.71,0.65,0.49,0.62,1.19,0.89,1.23,0.36,8.16,43.33,102.27499999999998
Belgium,0.93,1.73,2.63,12.02,0.78,9.05,2.21,1.35,1.08,1.81,2.27,1.59,1.17,14.88,93.87,223.52500000000003
Finland,0.96,2.1,2.31,6.97,1.45,10.01,2.19,1.05,1.74,2.16,3.35,1.66,1.47,15,114.70999999999998,288.505
Taiwan,2.98,1.88,2.69,15.59,1.11,7.53,2.59,2.41,1.82,2.82,3.29,1.91,2.21,18.38,125.35999999999999,310.825
North Macedonia,0.92,0.54,1.69,5.33,0.4,4.74,0.91,0.57,0.42,1.09,1.12,1.01,0.54,7.7,51.98500000000001,125.47500000000001
South Africa,0.95,0.85,1.74,6.46,0.89,4.21,1.31,1.03,0.95,1.32,1.32,1.29,1,6.56,66.335,170.195
Jamaica,2.94,2.56,2.71,11.46,1.01,5.52,2.55,2.32,1.84,0.99,2.1,2.66,2.37,6.68,100.565,261.42499999999995
Peru,1.14,1.52,1.62,5.77,0.71,4.2,1,0.67,0.64,1,0.92,0.93,0.75,6.6,60.92,155.45999999999995
Germany,0.96,1.7,2.51,11.76,0.53,7.41,2.11,1.54,1.2,1.95,1.22,1.62,0.96,13.94,80.71999999999998,188.935
Puerto Rico,1.73,2.54,2.96,7.52,1.65,8.65,3.9,3.16,2.47,2.09,4.62,2.17,2.63,9.97,124.69,321.48500000000007
Hong Kong,3.04,2.28,3.48,24.99,1.57,9.26,3.72,2.57,1.58,1.95,2.9,2.58,2.59,22.9,154.955,383.3399999999999
United States,0.93,2.94,3.17,11.45,1.88,11.65,4.09,2.66,1.75,4.07,4.42,1.6,2.68,14.86,142.60500000000002,359.8450000000001
Thailand,1.47,1.22,1.54,13.73,0.43,2.15,1.67,1.19,0.92,1.08,1.2,1.13,0.97,9.62,57.815000000000005,140.08499999999998
Libya,0.87,0.37,1.35,5.64,0.25,2.82,0.83,0.61,0.59,0.93,0.58,1.12,0.58,7.73,40.75,96.38
Costa Rica,1.36,1.7,2.41,6.45,1.93,6.86,2.22,1.8,0.81,1.61,1.96,1.25,2.09,9.31,113.965,301.1849999999999
Sweden,1.13,2.16,2.85,8.18,1.36,8.55,2.29,1.16,1.84,2.33,3.08,2.08,1.13,14.86,111.40500000000002,279.31500000000005
Vietnam,1.45,0.97,1.48,12.53,0.54,3.6,1.46,1.17,0.82,0.95,0.98,1.05,1.22,10.53,64.53999999999999,157.085
Poland,0.63,0.82,2.17,5.78,0.45,4.21,1.22,0.57,0.8,0.91,2.05,1.08,0.67,8.08,52.18499999999999,124.56
Bulgaria,1.22,0.83,2.08,7.33,0.54,5.98,1.27,0.79,0.76,1.7,2.02,1.44,0.73,9.11,68.13499999999999,166.14999999999998
Jordan,1.46,0.51,1.89,7.27,0.55,5.44,1.47,0.89,0.6,1.57,0.72,1.66,0.72,11.19,69.475,169.27
Kuwait,1.42,0.85,1.82,4.46,0.5,4.58,1.68,1.12,1.82,1.8,1.31,1.71,0.94,9.37,64.50500000000001,159.345
Nigeria,2.88,1.18,1.82,4.23,0.5,4.44,1.23,2.1,0.95,2.51,1.87,1.6,1.47,4.44,72.43500000000002,188.065
Tunisia,0.41,0.13,0.99,7.74,0.23,3.76,0.68,0.47,0.29,0.72,0.51,1.58,0.42,8.6,39.80499999999999,90.85
Croatia,0.96,0.98,2.26,8.06,0.98,7.77,1.4,0.76,0.89,1.87,1.77,1.35,0.77,9.63,85.36500000000001,213.535
Sri Lanka,1.07,0.46,1.36,6.83,0.35,3.26,2.23,0.89,0.77,0.61,1.15,0.65,0.69,5.11,45.105000000000004,111.33
Uruguay,1,2.1,2.98,10.53,1.44,9.81,1.3,1.59,1.03,1.35,2.64,2.32,1.57,10.66,111.45499999999998,281.4699999999999
United Kingdom,1.09,1.13,2.29,6.54,1.11,6.33,1.99,1.23,0.8,1.55,2.28,1.24,1.11,9.81,85.86500000000002,217.37000000000003
United Arab Emirates,1.85,1.33,2.98,8.96,0.63,7.55,1.87,1.15,1.72,2.48,1.37,1.7,0.96,10.75,88.00000000000003,215.91
Kenya,0.83,0.48,1.4,10.52,0.68,5.8,1.7,0.78,0.62,1.34,0.91,1.06,0.86,4.34,62.16499999999999,157.17000000000004
