Country,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index
Bermuda,145.07,92.86,120.13,141.77,157.7,83.43
Switzerland,131.75,55.05,95.1,133.36,126.08,110.96
Norway,106.09,36.18,72.68,100.59,105.9,79.43
Iceland,96.77,43.17,71.16,88.84,102.24,71.88
Denmark,91.67,36.18,65.16,72.62,104.92,94.73
Luxembourg,88.28,61.62,75.54,80.71,94.66,95.38
Japan,87.77,28.03,59.23,90.47,49.74,76.53
Israel,86.63,31.9,60.48,73.68,91.1,70.36
Bahamas,85.85,34.54,61.33,69.35,89.29,49.31
Singapore,85.59,64.77,75.64,75.31,62.07,83.62
Australia,84.14,38.38,62.28,81.14,76.28,99.29
Ireland,83.11,45.42,65.1,67.8,82.34,73.84
Barbados,81.49,21.09,52.63,71.51,72.85,45.34
South Korea,81.2,22.91,53.35,99.84,43.98,76.6
France,80.62,27.79,55.38,77.46,75.48,74.06
Hong Kong,79.94,74.24,77.22,81.73,58.6,62.45
Sweden,79.17,28.08,54.76,71.67,77.23,90.55
New Zealand,79.14,35.38,58.23,75.03,69.18,81.44
Seychelles,78.92,34.32,57.61,78.56,84.24,18.03
Netherlands,78.64,39.31,59.85,61.63,81.62,83.89
Belgium,78.52,26.84,53.83,67.33,82.4,76.54
Finland,77.46,28.04,53.85,65.6,81.22,89.05
Lebanon,75.88,24.08,51.13,72.51,62.89,29.49
Austria,75.49,28.42,53,67.62,70.98,78.23
Malta,73.61,32.96,54.19,63.41,77.04,41.89
Italy,73.11,22.91,49.13,62.46,75.6,58.7
United States,71.92,41.14,57.21,70.24,69.42,102.58
United Kingdom,71.03,31.61,52.19,56.38,74.69,82.56
Germany,70.62,29.64,51.04,54.69,65,93.72
Canada,70.08,32.48,52.12,68.5,63.96,82.76
Macao,69.6,44.39,57.56,66.28,48.93,67.6
Puerto Rico,69.51,19.42,45.58,72.13,58.12,69.22
Taiwan,65.25,17.92,42.64,79.11,28.8,56.08
Qatar,64.23,46.59,55.8,56.72,62.58,93.12
Cyprus,64.05,22.7,44.29,51.68,66.31,52.34
United Arab Emirates,61.67,40.62,51.61,48.84,61.25,85.74
Greece,60.96,13.05,38.07,47.66,55.71,38.95
Slovenia,59.38,18.88,40.03,51.46,47.86,56.14
Spain,59.09,23.59,42.13,48.74,56.99,62.68
Bahrain,57.7,29.53,44.24,46.96,52.27,53.24
Estonia,56.45,16.27,37.25,43.35,56.27,61.22
Croatia,56.36,14.94,36.57,49.1,46.13,43.13
Palestine,55.88,9.98,33.95,50.24,36.21,39.1
Cuba,55.54,14.89,36.12,46.93,32.85,1.42
Trinidad And Tobago,55.48,16.44,36.83,53.09,52.21,39
Ivory Coast,54.61,20.26,38.2,47.15,34.5,6.32
Ethiopia,54.3,15.59,35.8,37.47,18.17,10.1
Panama,54.07,22.58,39.02,54.77,45.48,32.05
Jamaica,53.16,15.93,35.37,55.94,33.12,32.21
Portugal,52.88,22.31,38.27,42.01,43.24,44.96
Latvia,52.87,13.17,33.9,41.36,44.92,45.94
Mauritius,52.57,12.32,33.34,54.15,37.56,27.38
Belize,52.45,11.56,32.91,47.82,36.1,45.71
Jordan,52.17,9.69,31.87,42.76,42.08,33.13
Suriname,51.86,10.42,32.06,50.39,62.59,16.47
Zimbabwe,51.52,9.44,31.41,45.56,39.29,22.1
Yemen,51.46,6.21,29.84,61.17,23.62,14.75
Uruguay,51.09,13.56,33.16,40.83,48.95,30.62
Costa Rica,50.64,14.52,33.38,48.03,41.33,39.01
Oman,50.18,17.32,34.48,46.9,41.88,84.45
Saudi Arabia,49.95,11.64,31.64,41.74,31.98,88.18
Kuwait,49.4,31.43,40.82,35.87,45.12,75.32
Brunei,49.35,23.44,36.97,47.21,35.86,89.03
Chile,49.33,14.66,32.76,41.82,45.96,33.33
Thailand,49.32,16.33,33.56,50.64,24.19,31.36
Czech Republic,49.18,19.81,35.15,42.76,34.68,56.4
Slovakia,49.08,17.43,33.96,42.96,37.47,50.39
Fiji,48.54,17.77,33.84,53.43,38.55,30.04
Cambodia,47.91,14.56,31.98,48.64,23.1,11.4
Lithuania,47.66,14.63,31.88,37.28,45.96,54.6
Guatemala,44.76,15.24,30.66,41.68,32.45,25.64
El Salvador,44.57,13.33,29.64,42.69,33.33,20.72
Nicaragua,42.77,7.99,26.15,41.07,29.47,16.69
Hungary,42.75,12.75,28.42,35.46,34.24,49.81
Cameroon,42.57,7.42,25.78,42.88,24.67,15.37
China,42.54,16.42,30.06,45.49,28.4,57.47
Honduras,42.2,10.63,27.12,35.13,28.73,31.06
Poland,42.04,18.09,30.6,33.45,35.38,47.09
South Africa,41.69,15.94,29.38,34.59,37.22,72.92
Dominican Republic,41.54,9.81,26.38,36.12,35.28,21.72
Montenegro,41.43,11.75,27.25,32.55,32.54,35.36
Iran,41.34,17.88,30.13,36.26,25.85,19
Namibia,41.02,14.29,28.25,35.67,35.58,53.28
Bulgaria,40.92,9.88,26.09,35.24,31.88,40.26
Philippines,40.65,10.41,26.2,38.91,22.16,19.71
Ghana,40.63,18.44,30.02,41.21,31.53,15.19
Botswana,40.41,10.74,26.23,34.64,41.52,61.95
Albania,40.25,9.21,25.42,32.73,30.71,26.58
Ecuador,40.08,12.03,26.68,36.42,28.55,30.54
Malaysia,39.51,10.77,25.78,40.2,21.71,56.1
Serbia,39.19,9.83,25.17,29.68,30.59,35.83
Bosnia And Herzegovina,38.56,7.13,23.54,31.84,25.7,42.56
Romania,38.5,10.76,25.25,33.45,32.38,45.19
Myanmar,38.06,21.71,30.25,39.59,21.22,10.67
Vietnam,38.05,14.16,26.63,38.32,19.03,27.26
Argentina,37.87,8.49,23.83,29.2,33.39,34.56
Indonesia,37.44,10.29,24.47,39.4,17.99,20.89
Somalia,37.42,5.9,22.36,44.46,26.73,27.23
Morocco,36.85,9.72,23.89,32.78,26.33,32.17
Kenya,36.3,9.17,23.33,33.38,30.5,27.67
Peru,36.26,12.25,24.79,33.83,23.56,28.81
Bolivia,36.11,10.76,23.99,31.94,25.24,37.23
Mozambique,35.89,15.12,25.97,29.07,29.28,16.4
Mexico,35.05,11.62,23.86,33.64,28.92,35.54
Tanzania,34.6,13.11,24.33,30.62,25.16,16.05
